Ticker,Name,Sector,Weight(%)
AVGO,BROADCOM INC,Information Technology,3.10
JPM,JPMORGAN CHASE & CO,Financials,3.01
AAPL,APPLE INC,Information Technology,2.98
JNJ,JOHNSON & JOHNSON,Health Care,2.95
XOM,EXXON MOBIL CORP,Energy,2.92
MSFT,MICROSOFT CORP,Information Technology,2.88
ABBV,ABBVIE INC,Health Care,2.86
PG,PROCTER & GAMBLE,Consumer Staples,2.31
HD,HOME DEPOT INC,Consumer Discretionary,2.08
MRK,MERCK & CO INC,Health Care,1.95
KO,COCA-COLA,Consumer Staples,1.88
UNH,UNITEDHEALTH GROUP INC,Health Care,1.87
PEP,PEPSICO INC,Consumer Staples,1.79
BAC,BANK OF AMERICA CORP,Financials,1.70
CSCO,CISCO SYSTEMS INC,Information Technology,1.61
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,1.50
MCD,MCDONALDS CORP,Consumer Discretionary,1.20
AMGN,AMGEN INC,Health Care,1.16
MS,MORGAN STANLEY,Financials,1.14
CMCSA,COMCAST CORP CLASS A,Communication,1.13
C,CITIGROUP INC,Financials,1.05
NEE,NEXTERA ENERGY INC,Utilities,1.03
V,VISA INC CLASS A,Financials,1.03
LLY,ELI LILLY,Health Care,1.03
COP,CONOCOPHILLIPS,Energy,1.01
ABT,ABBOTT LABORATORIES,Health Care,0.96
GILD,GILEAD SCIENCES INC,Health Care,0.96
QCOM,QUALCOMM INC,Information Technology,0.94
GS,GOLDMAN SACHS GROUP INC,Financials,0.93
ACN,ACCENTURE PLC CLASS A,Information Technology,0.90
MDT,MEDTRONIC PLC,Health Care,0.88
WMT,WALMART INC,Consumer Staples,0.87
RTX,RTX CORP,Industrials,0.83
UNP,UNION PACIFIC CORP,Industrials,0.81
DUK,DUKE ENERGY CORP,Utilities,0.80
SO,SOUTHERN,Utilities,0.78
USB,US BANCORP,Financials,0.75
HON,HONEYWELL INTERNATIONAL INC,Industrials,0.73
BLK,BLACKROCK INC,Financials,0.68
CAT,CATERPILLAR INC,Industrials,0.64
LMT,LOCKHEED MARTIN CORP,Industrials,0.64
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,0.62
LIN,LINDE PLC,Materials,0.62
LOW,LOWES COMPANIES INC,Consumer Discretionary,0.61
ORCL,ORACLE CORP,Information Technology,0.60
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,0.60
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,0.56
MA,MASTERCARD INC CLASS A,Financials,0.53
TGT,TARGET CORP,Consumer Staples,0.52
EOG,EOG RESOURCES INC,Energy,0.51
AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.49
COST,COSTCO WHOLESALE CORP,Consumer Staples,0.48
ADI,ANALOG DEVICES INC,Information Technology,0.46
PSX,PHILLIPS,Energy,0.44
CME,CME GROUP INC CLASS A,Financials,0.41
ITW,ILLINOIS TOOL INC,Industrials,0.41
NKE,NIKE INC CLASS B,Consumer Discretionary,0.41
KMB,KIMBERLY CLARK CORP,Consumer Staples,0.41
CL,COLGATE-PALMOLIVE,Consumer Staples,0.40
MMC,MARSH & MCLENNAN INC,Financials,0.40
SRE,SEMPRA,Utilities,0.39
AXP,AMERICAN EXPRESS,Financials,0.39
ELV,ELEVANCE HEALTH INC,Health Care,0.37
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,0.36
ETN,EATON PLC,Industrials,0.35
GD,GENERAL DYNAMICS CORP,Industrials,0.35
CB,CHUBB LTD,Financials,0.34
BK,BANK OF NEW YORK MELLON CORP,Financials,0.33
AMAT,APPLIED MATERIAL INC,Information Technology,0.33
GIS,GENERAL MILLS INC,Consumer Staples,0.33
MET,METLIFE INC,Financials,0.33
XEL,XCEL ENERGY INC,Utilities,0.31
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,0.30
NOC,NORTHROP GRUMMAN CORP,Industrials,0.30
EIX,EDISON INTERNATIONAL,Utilities,0.29
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,0.29
BDX,BECTON DICKINSON,Health Care,0.29
EMR,EMERSON ELECTRIC,Industrials,0.29
LRCX,LAM RESEARCH CORP,Information Technology,0.29
SYK,STRYKER CORP,Health Care,0.28
ED,CONSOLIDATED EDISON INC,Utilities,0.28
INTU,INTUIT INC,Information Technology,0.28
SPGI,S&P GLOBAL INC,Financials,0.28
ETR,ENTERGY CORP,Utilities,0.26
WM,WASTE MANAGEMENT INC,Industrials,0.26
WEC,WEC ENERGY GROUP INC,Utilities,0.26
HPQ,HP INC,Information Technology,0.26
AFL,AFLAC INC,Financials,0.25
NXPI,NXP SEMICONDUCTORS NV,Information Technology,0.25
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,0.25
ALL,ALLSTATE CORP,Financials,0.24
SYY,SYSCO CORP,Consumer Staples,0.24
CMI,CUMMINS INC,Industrials,0.24
TRV,TRAVELERS COMPANIES INC,Financials,0.24
FITB,FIFTH THIRD BANCORP,Financials,0.24
KLAC,KLA CORP,Information Technology,0.23
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,0.23
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,0.23
CRH,CRH PUBLIC LIMITED PLC,Materials,0.23
CSX,CSX CORP,Industrials,0.22
STT,STATE STREET CORP,Financials,0.22
KR,KROGER,Consumer Staples,0.22
MTB,M&T BANK CORP,Financials,0.22
RF,REGIONS FINANCIAL CORP,Financials,0.22
DTE,DTE ENERGY,Utilities,0.21
FAST,FASTENAL,Industrials,0.20
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,0.20
PH,PARKER-HANNIFIN CORP,Industrials,0.20
HSY,HERSHEY FOODS,Consumer Staples,0.19
APH,AMPHENOL CORP CLASS A,Information Technology,0.19
TEL,TE CONNECTIVITY PLC,Information Technology,0.19
TT,TRANE TECHNOLOGIES PLC,Industrials,0.18
YUM,YUM BRANDS INC,Consumer Discretionary,0.18
ZTS,ZOETIS INC CLASS A,Health Care,0.18
FANG,DIAMONDBACK ENERGY INC,Energy,0.18
AEE,AMEREN CORP,Utilities,0.18
DFS,DISCOVER FINANCIAL SERVICES,Financials,0.17
DHR,DANAHER CORP,Health Care,0.17
ARES,ARES MANAGEMENT CORP CLASS A,Financials,0.17
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,0.17
MSI,MOTOROLA SOLUTIONS INC,Information Technology,0.16
CMS,CMS ENERGY CORP,Utilities,0.15
STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples,0.15
K,KELLANOVA,Consumer Staples,0.15
SHW,SHERWIN WILLIAMS,Materials,0.15
CARR,CARRIER GLOBAL CORP,Industrials,0.15
CLX,CLOROX,Consumer Staples,0.15
PPG,PPG INDUSTRIES INC,Materials,0.15
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.15
OTIS,OTIS WORLDWIDE CORP,Industrials,0.15
SW,SMURFIT WESTROCK PLC,Materials,0.15
NTRS,NORTHERN TRUST CORP,Financials,0.15
ROK,ROCKWELL AUTOMATION INC,Industrials,0.14
AON,AON PLC CLASS A,Financials,0.14
FERG,FERGUSON ENTERPRISES INC,Industrials,0.14
AWK,AMERICAN WATER WORKS INC,Utilities,0.14
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,0.14
PCAR,PACCAR INC,Industrials,0.14
AMP,AMERIPRISE FINANCE INC,Financials,0.14
ECL,ECOLAB INC,Materials,0.14
ATO,ATMOS ENERGY CORP,Utilities,0.13
GPC,GENUINE PARTS,Consumer Discretionary,0.13
TSN,TYSON FOODS INC CLASS A,Consumer Staples,0.13
HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials,0.13
AJG,ARTHUR J GALLAGHER,Financials,0.13
MCO,MOODYS CORP,Financials,0.13
OMC,OMNICOM GROUP INC,Communication,0.13
EBAY,EBAY INC,Consumer Discretionary,0.13
CAH,CARDINAL HEALTH INC,Health Care,0.13
NI,NISOURCE INC,Utilities,0.12
DG,DOLLAR GENERAL CORP,Consumer Staples,0.12
MSCI,MSCI INC,Financials,0.12
SWK,STANLEY BLACK & DECKER INC,Industrials,0.12
ROST,ROSS STORES INC,Consumer Discretionary,0.12
CTAS,CINTAS CORP,Industrials,0.12
LNT,ALLIANT ENERGY CORP,Utilities,0.12
CINF,CINCINNATI FINANCIAL CORP,Financials,0.12
HCA,HCA HEALTHCARE INC,Health Care,0.11
SJM,JM SMUCKER,Consumer Staples,0.11
RSG,REPUBLIC SERVICES INC,Industrials,0.11
KKR,KKR AND CO INC,Financials,0.11
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,0.11
CTVA,CORTEVA INC,Materials,0.11
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials,0.11
DHI,D R HORTON INC,Consumer Discretionary,0.11
GRMN,GARMIN LTD,Consumer Discretionary,0.11
USD,USD CASH,Cash and/or Derivatives,0.11
NUE,NUCOR CORP,Materials,0.11
SNA,SNAP ON INC,Industrials,0.11
TSCO,TRACTOR SUPPLY,Consumer Discretionary,0.11
NTAP,NETAPP INC,Information Technology,0.10
HUM,HUMANA INC,Health Care,0.10
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,0.10
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples,0.10
SYF,SYNCHRONY FINANCIAL,Financials,0.10
COR,CENCORA INC,Health Care,0.09
MCK,MCKESSON CORP,Health Care,0.09
NDAQ,NASDAQ INC,Financials,0.09
WTW,WILLIS TOWERS WATSON PLC,Financials,0.09
EG,EVEREST GROUP LTD,Financials,0.09
WSO,WATSCO INC,Industrials,0.09
NRG,NRG ENERGY INC,Utilities,0.09
RPRX,ROYALTY PHARMA PLC CLASS A,Health Care,0.09
EMN,EASTMAN CHEMICAL,Materials,0.09
GWW,WW GRAINGER INC,Industrials,0.08
VST,VISTRA CORP,Utilities,0.08
XYL,XYLEM INC,Industrials,0.08
CDW,CDW CORP,Information Technology,0.08
OGE,OGE ENERGY CORP,Utilities,0.08
DGX,QUEST DIAGNOSTICS INC,Health Care,0.08
RJF,RAYMOND JAMES INC,Financials,0.08
OVV,OVINTIV INC,Energy,0.08
HRL,HORMEL FOODS CORP,Consumer Staples,0.08
WTRG,ESSENTIAL UTILITIES INC,Utilities,0.08
ROP,ROPER TECHNOLOGIES INC,Information Technology,0.08
UNM,UNUM,Financials,0.07
RMD,RESMED INC,Health Care,0.07
EWBC,EAST WEST BANCORP INC,Financials,0.07
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,0.07
CHD,CHURCH AND DWIGHT INC,Consumer Staples,0.07
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,0.07
HUBB,HUBBELL INC,Industrials,0.07
EQH,EQUITABLE HOLDINGS INC,Financials,0.07
DKS,DICKS SPORTING INC,Consumer Discretionary,0.07
AVY,AVERY DENNISON CORP,Materials,0.07
DOV,DOVER CORP,Industrials,0.07
A,AGILENT TECHNOLOGIES INC,Health Care,0.07
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials,0.06
ORI,OLD REPUBLIC INTERNATIONAL CORP,Financials,0.06
MOS,MOSAIC,Materials,0.06
ZION,ZIONS BANCORPORATION,Financials,0.06
AME,AMETEK INC,Industrials,0.06
RGA,REINSURANCE GROUP OF AMERICA INC,Financials,0.06
RPM,RPM INTERNATIONAL INC,Materials,0.06
CFR,CULLEN FROST BANKERS INC,Financials,0.06
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,0.06
JEF,JEFFERIES FINANCIAL GROUP INC,Financials,0.06
STLD,STEEL DYNAMICS INC,Materials,0.06
MAS,MASCO CORP,Industrials,0.06
VMC,VULCAN MATERIALS,Materials,0.06
AFG,AMERICAN FINANCIAL GROUP INC,Financials,0.06
STE,STERIS,Health Care,0.05
RS,RELIANCE STEEL & ALUMINUM,Materials,0.05
PB,PROSPERITY BANCSHARES INC,Financials,0.05
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials,0.05
VRSK,VERISK ANALYTICS INC,Industrials,0.05
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,0.05
FAF,FIRST AMERICAN FINANCIAL CORP,Financials,0.05
SNV,SYNOVUS FINANCIAL CORP,Financials,0.05
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,0.05
RHI,ROBERT HALF,Industrials,0.05
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,0.05
HRB,H&R BLOCK INC,Consumer Discretionary,0.05
INGR,INGREDION INC,Consumer Staples,0.05
IEX,IDEX CORP,Industrials,0.05
NFG,NATIONAL FUEL GAS,Utilities,0.05
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,0.05
LW,LAMB WESTON HOLDINGS INC,Consumer Staples,0.05
OC,OWENS CORNING,Industrials,0.05
MLM,MARTIN MARIETTA MATERIALS INC,Materials,0.05
IDA,IDACORP INC,Utilities,0.04
NJR,NEW JERSEY RESOURCES CORP,Utilities,0.04
VOYA,VOYA FINANCIAL INC,Financials,0.04
BPOP,POPULAR INC,Financials,0.04
OZK,BANK OZK,Financials,0.04
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,0.04
SF,STIFEL FINANCIAL CORP,Financials,0.04
GGG,GRACO INC,Industrials,0.04
SCI,SERVICE,Consumer Discretionary,0.04
POOL,POOL CORP,Consumer Discretionary,0.04
ALB,ALBEMARLE CORP,Materials,0.04
HOMB,HOME BANCSHARES INC,Financials,0.04
CSL,CARLISLE COMPANIES INC,Industrials,0.04
WAL,WESTERN ALLIANCE,Financials,0.04
SSB,SOUTHSTATE CORP,Financials,0.04
