Ticker,Weight(%),Name,Sector
PFE,4.474230908,PFIZER INC,Health Care
ABBV,4.284605818,ABBVIE INC,Health Care
CSCO,4.138168253,CISCO SYSTEMS INC,Information Technology
BLK,4.107662031,BLACKROCK INC,Financials
KO,4.10354448,COCA-COLA,Consumer Staples
TXN,4.10257861,TEXAS INSTRUMENT INC,Information Technology
BMY,4.076471072,BRISTOL MYERS SQUIBB,Health Care
VZ,3.910714469,VERIZON COMMUNICATIONS INC,Communication Services
CVX,3.904738708,CHEVRON CORP,Energy
AMGN,3.901225148,AMGEN INC,Health Care
PEP,3.833458001,PEPSICO INC,Consumer Staples
HD,3.819764877,HOME DEPOT INC,Consumer Discretionary
LMT,3.780180792,LOCKHEED MARTIN CORP,Industrials
UPS,3.541179803,UNITED PARCEL SERVICE INC CLASS B,Industrials
MO,3.459160493,ALTRIA GROUP INC,Consumer Staples
USB,2.959574562,US BANCORP,Financials
EOG,2.797030396,EOG RESOURCES INC,Energy
OKE,2.310077508,ONEOK INC,Energy
PAYX,1.697292466,PAYCHEX INC,Industrials
KMB,1.653241797,KIMBERLY CLARK CORP,Consumer Staples
FAST,1.604047373,FASTENAL,Industrials
VLO,1.522753244,VALERO ENERGY CORP,Energy
F,1.507463343,FORD MOTOR,Consumer Discretionary
MTB,1.256056755,M&T BANK CORP,Financials
FITB,1.131099483,FIFTH THIRD BANCORP,Financials
TROW,0.990515051,T ROWE PRICE GROUP INC,Financials
HSY,0.958335961,HERSHEY FOODS,Consumer Staples
HBAN,0.934436366,HUNTINGTON BANCSHARES INC,Financials
CINF,0.861946262,CINCINNATI FINANCIAL CORP,Financials
DRI,0.84814577,DARDEN RESTAURANTS INC,Consumer Discretionary
RF,0.846976903,REGIONS FINANCIAL CORP,Financials
PKG,0.788033034,PACKAGING CORP OF AMERICA,Materials
CTRA,0.755003842,COTERRA ENERGY INC,Energy
LYB,0.747614817,LYONDELLBASELL INDUSTRIES NV CLASS,Materials
SNA,0.685962829,SNAP ON INC,Industrials
BBY,0.647650115,BEST BUY INC,Consumer Discretionary
WSO,0.638186764,WATSCO INC,Industrials
CF,0.630259148,CF INDUSTRIES HOLDINGS INC,Materials
KEY,0.627815346,KEYCORP,Financials
TPR,0.606279605,TAPESTRY INC,Consumer Discretionary
FNF,0.571189827,FIDELITY NATIONAL FINANCIAL INC,Financials
SWKS,0.565105258,SKYWORKS SOLUTIONS INC,Information Technology
AMCR,0.530584111,AMCOR PLC,Materials
EWBC,0.52300162,EAST WEST BANCORP INC,Financials
DKS,0.514013777,DICKS SPORTING INC,Consumer Discretionary
UNM,0.487506716,UNUM,Financials
CHRW,0.472704727,CH ROBINSON WORLDWIDE INC,Industrials
IPG,0.408951675,INTERPUBLIC GROUP OF COMPANIES INC,Communication Services
APA,0.34056529,APA CORP,Energy
CMA,0.325572964,COMERICA INC,Financials
ZION,0.316214669,ZIONS BANCORPORATION,Financials
SNV,0.29569105,SYNOVUS FINANCIAL CORP,Financials
HRB,0.288405612,H&R BLOCK INC,Consumer Discretionary
RHI,0.276533024,ROBERT HALF INC,Industrials
MTN,0.261474634,VAIL RESORTS INC,Consumer Discretionary
WHR,0.245519013,WHIRLPOOL CORP,Consumer Discretionary
