Name,Ticker,Weight(%)
NVIDIA Corp,NVDA ,9.675
Meta Platforms Inc,META ,8.903
Amazon.com Inc,AMZN ,8.579
Broadcom Inc,AVGO ,5.465
JPMorgan Chase & Co,JPM ,5.003
Walmart Inc,WMT ,4.665
Tesla Inc,TSLA ,4.38
Netflix Inc,NFLX ,3.707
Palantir Technologies Inc,PLTR ,2.887
Costco Wholesale Corp,COST ,2.8
General Electric Co,GE ,2.244
Philip Morris International Inc,PM ,1.936
Bank of America Corp,BAC ,1.528
Wells Fargo & Co,WFC ,1.507
Boston Scientific Corp,BSX ,1.46
Goldman Sachs Group Inc/The,GS ,1.421
International Business Machines Corp,IBM ,1.294
RTX Corp,RTX ,1.275
AT&T Inc,T ,1.193
American Express Co,AXP ,1.188
Intuitive Surgical Inc,ISRG ,1.117
Morgan Stanley,MS ,1.098
GE Vernova Inc,GEV ,0.99
Progressive Corp/The,PGR ,0.938
Blackrock Inc,BLK ,0.904
Welltower Inc,WELL ,0.824
TJX Cos Inc/The,TJX ,0.815
T-Mobile US Inc,TMUS ,0.809
Citigroup Inc,C ,0.805
Fiserv Inc,FI ,0.747
Howmet Aerospace Inc,HWM ,0.691
3M Co,MMM ,0.676
KKR & Co Inc,KKR ,0.656
Vistra Corp,VST ,0.651
Altria Group Inc,MO ,0.644
Williams Cos Inc/The,WMB ,0.612
Constellation Energy Corp,CEG ,0.608
Royal Caribbean Cruises Ltd,RCL ,0.587
Axon Enterprise Inc,AXON ,0.547
Bank of New York Mellon Corp/The,BK ,0.542
Motorola Solutions Inc,MSI ,0.537
Trane Technologies PLC,TT ,0.514
Parker-Hannifin Corp,PH ,0.502
Arista Networks Inc,ANET ,0.49
Intercontinental Exchange Inc,ICE ,0.489
Kinder Morgan Inc,KMI ,0.476
Arthur J Gallagher & Co,AJG ,0.431
Johnson Controls International plc,JCI ,0.408
Targa Resources Corp,TRGP ,0.403
Capital One Financial Corp,COF ,0.388
Apollo Global Management Inc,APO ,0.378
Hilton Worldwide Holdings Inc,HLT ,0.326
ONEOK Inc,OKE ,0.315
GoDaddy Inc,GDDY ,0.287
Ameriprise Financial Inc,AMP ,0.281
Republic Services Inc,RSG ,0.28
Entergy Corp,ETR ,0.275
Cummins Inc,CMI ,0.274
Westinghouse Air Brake Technologies Corp,WAB ,0.271
United Airlines Holdings Inc,UAL ,0.269
Public Service Enterprise Group Inc,PEG ,0.263
eBay Inc,EBAY ,0.26
CBRE Group Inc,CBRE ,0.256
Baker Hughes Co,BKR ,0.255
Corning Inc,GLW ,0.252
Nasdaq Inc,NDAQ ,0.238
Fair Isaac Corp,FICO ,0.224
Garmin Ltd,GRMN ,0.218
NRG Energy Inc,NRG ,0.215
Delta Air Lines Inc,DAL ,0.213
Texas Pacific Land Corp,TPL ,0.205
Willis Towers Watson PLC,WTW ,0.175
Raymond James Financial Inc,RJF ,0.174
M&T Bank Corp,MTB ,0.168
Ameren Corp,AEE ,0.165
Iron Mountain Inc,IRM ,0.165
State Street Corp,STT ,0.159
Brown & Brown Inc,BRO ,0.154
NiSource Inc,NI ,0.151
Synchrony Financial,SYF ,0.15
Live Nation Entertainment Inc,LYV ,0.15
PPL Corp,PPL ,0.143
International Paper Co,IP ,0.141
Veralto Corp,VLTO ,0.133
Dover Corp,DOV ,0.13
Atmos Energy Corp,ATO ,0.128
Tyler Technologies Inc,TYL ,0.126
Tapestry Inc,TPR ,0.123
Northern Trust Corp,NTRS ,0.119
F5 Inc,FFIV ,0.106
Fox Corp,FOXA ,0.095
Zebra Technologies Corp,ZBRA ,0.09
Evergy Inc,EVRG ,0.087
Pentair PLC,PNR ,0.084
Packaging Corp of America,PKG ,0.078
Ralph Lauren Corp,RL ,0.073
Invesco Government & Agency Portfolio,AGPXX ,0.071
Fox Corp,FOX ,0.056
DaVita Inc,DVA ,0.037
Cash/Receivables/Payables,-CASH-,0
