Ticker,Name,Weight(%)
AAPL,APPLE INC COMMON STOCK USD.00001,14.71
NVDA,NVIDIA CORP COMMON STOCK USD.001,14.56
MSFT,MICROSOFT CORP COMMON STOCK USD.00000625,12.64
AVGO,BROADCOM INC COMMON STOCK,5.81
CRM,SALESFORCE INC COMMON STOCK USD.001,3.3
ORCL,ORACLE CORP COMMON STOCK USD.01,2.78
CSCO,CISCO SYSTEMS INC COMMON STOCK USD.001,2.45
NOW,SERVICENOW INC COMMON STOCK USD.001,2.32
ACN,ACCENTURE PLC CL A COMMON STOCK USD.0000225,2.29
AMD,ADVANCED MICRO DEVICES COMMON STOCK USD.01,2.2
IBM,INTL BUSINESS MACHINES CORP COMMON STOCK USD.2,2.15
ADBE,ADOBE INC COMMON STOCK USD.0001,1.98
QCOM,QUALCOMM INC COMMON STOCK USD.0001,1.86
INTU,INTUIT INC COMMON STOCK USD.01,1.83
TXN,TEXAS INSTRUMENTS INC COMMON STOCK USD1.0,1.83
PLTR,PALANTIR TECHNOLOGIES INC A COMMON STOCK USD.001,1.63
AMAT,APPLIED MATERIALS INC COMMON STOCK USD.01,1.53
ANET,ARISTA NETWORKS INC COMMON STOCK USD.0001,1.28
PANW,PALO ALTO NETWORKS INC COMMON STOCK USD.0001,1.23
MU,MICRON TECHNOLOGY INC COMMON STOCK USD.1,1.15
ADI,ANALOG DEVICES INC COMMON STOCK USD.167,1.13
LRCX,LAM RESEARCH CORP COMMON STOCK USD.001,1.05
KLAC,KLA CORP COMMON STOCK USD.001,0.96
APH,AMPHENOL CORP CL A COMMON STOCK USD.001,0.9
INTC,INTEL CORP COMMON STOCK USD.001,0.9
CRWD,CROWDSTRIKE HOLDINGS INC   A COMMON STOCK,0.89
CDNS,CADENCE DESIGN SYS INC COMMON STOCK USD.01,0.88
SNPS,SYNOPSYS INC COMMON STOCK USD.01,0.8
MSI,MOTOROLA SOLUTIONS INC COMMON STOCK USD.01,0.8
ADSK,AUTODESK INC COMMON STOCK USD.01,0.66
FTNT,FORTINET INC COMMON STOCK USD.001,0.65
ROP,ROPER TECHNOLOGIES INC COMMON STOCK USD.01,0.57
NXPI,NXP SEMICONDUCTORS NV COMMON STOCK EUR.2,0.57
WDAY,WORKDAY INC CLASS A COMMON STOCK USD.001,0.57
FICO,FAIR ISAAC CORP COMMON STOCK USD.01,0.5
TEL,TE CONNECTIVITY PLC COMMON STOCK USD.01,0.45
IT,GARTNER INC COMMON STOCK USD.0005,0.4
DELL,DELL TECHNOLOGIES  C COMMON STOCK,0.4
GLW,CORNING INC COMMON STOCK USD.5,0.39
CTSH,COGNIZANT TECH SOLUTIONS A COMMON STOCK USD.01,0.39
HPQ,HP INC COMMON STOCK USD.01,0.34
MCHP,MICROCHIP TECHNOLOGY INC COMMON STOCK USD.001,0.33
MPWR,MONOLITHIC POWER SYSTEMS INC COMMON STOCK USD.001,0.32
HPE,HEWLETT PACKARD ENTERPRISE COMMON STOCK USD.01,0.31
ANSS,ANSYS INC COMMON STOCK USD.01,0.31
KEYS,KEYSIGHT TECHNOLOGIES IN COMMON STOCK USD.01,0.3
ON,ON SEMICONDUCTOR COMMON STOCK USD.01,0.29
GDDY,GODADDY INC   CLASS A COMMON STOCK USD.001,0.29
TYL,TYLER TECHNOLOGIES INC COMMON STOCK USD.01,0.26
NTAP,NETAPP INC COMMON STOCK USD.001,0.25
CDW,CDW CORP/DE COMMON STOCK USD.01,0.25
TER,TERADYNE INC COMMON STOCK USD.125,0.24
WDC,WESTERN DIGITAL CORP COMMON STOCK USD.01,0.24
PTC,PTC INC COMMON STOCK USD.01,0.23
TDY,TELEDYNE TECHNOLOGIES INC COMMON STOCK USD.01,0.22
FSLR,FIRST SOLAR INC COMMON STOCK USD.001,0.21
ZBRA,ZEBRA TECHNOLOGIES CORP CL A COMMON STOCK USD.01,0.21
STX,SEAGATE TECHNOLOGY HOLDINGS COMMON STOCK USD.00001,0.2
SMCI,SUPER MICRO COMPUTER INC COMMON STOCK USD.001,0.19
TRMB,TRIMBLE INC COMMON STOCK USD.001,0.18
VRSN,VERISIGN INC COMMON STOCK USD.001,0.18
JBL,JABIL INC COMMON STOCK USD.001,0.18
GEN,GEN DIGITAL INC COMMON STOCK USD.01,0.16
FFIV,F5 INC COMMON STOCK,0.16
SWKS,SKYWORKS SOLUTIONS INC COMMON STOCK USD.25,0.15
AKAM,AKAMAI TECHNOLOGIES INC COMMON STOCK USD.01,0.15
EPAM,EPAM SYSTEMS INC COMMON STOCK USD.001,0.14
JNPR,JUNIPER NETWORKS INC COMMON STOCK USD.00001,0.13
ENPH,ENPHASE ENERGY INC COMMON STOCK USD.00001,0.1
,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.09
,US DOLLAR,0.01
XAKH25,XAK TECHNOLOGY    MAR25 XCME 20250321,0
